id,name,road,type,condition,length_m,throughput,current_vehicles
29,,N1,Intersection,-,0.0,34554,0
1568,,N2,Intersection,-,0.0,33852,0
186,,N1,Intersection,-,0.0,33295,0
1359,,N2,Intersection,-,0.0,30509,0
184,,N1,Intersection,-,0.0,30205,0
18,,N1,Intersection,-,0.0,29254,0
336,,N1,Intersection,-,0.0,25254,0
23,,N1,Link,-,382.0,24411,2
24,,N1,Bridge,A,8.3,24410,0
21,,N1,Bridge,A,6.3,24410,0
22,,N1,Bridge,A,6.3,24410,0
26,,N1,Link,-,248.0,24410,0
25,,N1,Link,-,184.0,24410,0
20,,N1,Bridge,B,8.0,24410,0
27,,N1,Bridge,A,9.3,24410,0
28,,N1,Bridge,A,6.1,24410,0
19,,N1,Link,-,112.0,24410,0
1363,,N2,Link,-,1000.0,24078,25
1361,,N2,Link,-,214.0,24073,0
1360,,N2,Bridge,C,19.0,24073,0
1362,,N2,Link,-,20.0,24073,0
1364,,N2,Link,-,162.0,24058,0
1368,,N2,Link,-,467.0,24058,4
1367,,N2,Bridge,B,3.5,24058,0
1366,,N2,Link,-,132.0,24058,0
1365,,N2,Bridge,B,4.9,24058,0
1371,,N2,Link,-,8.0,24054,0
1370,,N2,Link,-,22.0,24054,0
1369,,N2,Bridge,A,3.4,24054,0
1372,,N2,Link,-,914.0,24054,5
1384,,N2,Link,-,926.0,24052,30
1373,,N2,Bridge,C,72.15,24049,0
1374,,N2,Link,-,754.0,24049,6
1377,,N2,Bridge,B,8.3,24046,1
1376,,N2,Link,-,449.0,24046,3
1382,,N2,Bridge,A,4.0,24045,0
1383,,N2,Bridge,A,8.0,24045,0
1381,,N2,Link,-,288.0,24045,0
1379,,N2,Link,-,675.0,24045,0
1380,,N2,Bridge,A,8.3,24045,0
1378,,N2,Link,-,273.0,24045,0
1375,,N2,Bridge,A,4.5,24043,0
1386,,N2,Link,-,1000.0,24038,34
1385,,N2,Bridge,B,4.0,24029,0
1396,,N2,Link,-,870.0,24016,30
1393,,N2,Link,-,990.0,24014,5
1390,,N2,Link,-,469.0,24014,3
1389,,N2,Bridge,A,4.0,24013,0
1388,,N2,Bridge,A,4.0,24013,0
1387,,N2,Link,-,322.0,24013,0
1394,,N2,Link,-,1000.0,24012,4
1392,,N2,Bridge,A,2.0,24012,0
1391,,N2,Bridge,A,4.0,24012,0
1395,,N2,Link,-,130.0,24009,0
1401,,N2,Link,-,909.0,24004,32
1397,,N2,Link,-,187.0,23993,0
1398,,N2,Bridge,A,2.5,23993,0
1399,,N2,Bridge,A,2.5,23993,0
1400,,N2,Link,-,90.0,23993,0
1407,,N2,Link,-,1020.0,23985,3
1408,,N2,Link,-,665.0,23985,2
1404,,N2,Link,-,483.0,23984,3
1402,,N2,Link,-,251.0,23983,0
1409,,N2,Bridge,A,3.6,23983,0
1410,,N2,Link,-,280.0,23983,0
1411,,N2,Link,-,408.0,23983,5
1403,,N2,Link,-,34.0,23983,0
1405,,N2,Bridge,B,30.3,23982,0
1406,,N2,Link,-,10.0,23982,0
1413,,N2,Link,-,425.0,23979,4
1420,,N2,Link,-,808.0,23979,4
1412,,N2,Link,-,322.0,23978,0
1431,,N2,Link,-,230.0,23977,0
1432,,N2,Bridge,B,3.5,23977,0
1428,,N2,Link,-,253.0,23977,0
1429,,N2,Bridge,A,3.4,23977,0
1430,,N2,Bridge,A,3.0,23977,0
1435,,N2,Bridge,A,1.8,23977,0
1433,,N2,Bridge,A,3.0,23977,0
1434,,N2,Link,-,40.0,23977,0
1426,,N2,Bridge,A,12.6,23977,0
1436,,N2,Bridge,B,14.1,23977,0
1437,,N2,Link,-,170.0,23977,7
1427,,N2,Link,-,85.0,23977,0
1425,,N2,Link,-,21.0,23977,0
1423,,N2,Link,-,349.0,23977,0
1422,,N2,Bridge,C,69.5,23977,0
1421,,N2,Link,-,263.0,23977,0
1419,,N2,Bridge,A,27.4,23977,0
1418,,N2,Link,-,164.0,23977,1
1424,,N2,Bridge,A,3.0,23977,0
1417,,N2,Bridge,A,3.0,23976,0
1416,,N2,Link,-,245.0,23976,0
1415,,N2,Bridge,A,12.7,23976,0
1414,,N2,Link,-,474.0,23976,0
1458,,N2,Link,-,969.0,23974,27
1448,,N2,Link,-,558.0,23972,4
1449,,N2,Bridge,B,105.15,23971,0
1451,,N2,Bridge,A,10.3,23971,0
1444,,N2,Link,-,452.0,23971,1
