id,name,road,type,condition,length_m,throughput,current_vehicles
29,,N1,Intersection,-,0.0,34535,0
1568,,N2,Intersection,-,0.0,33843,0
186,,N1,Intersection,-,0.0,33118,0
1359,,N2,Intersection,-,0.0,30443,0
184,,N1,Intersection,-,0.0,30104,0
18,,N1,Intersection,-,0.0,29169,0
336,,N1,Intersection,-,0.0,25297,0
26,,N1,Link,-,248.0,24357,1
25,,N1,Link,-,184.0,24357,1
23,,N1,Link,-,382.0,24356,0
21,,N1,Bridge,A,6.3,24356,0
22,,N1,Bridge,A,6.3,24356,0
27,,N1,Bridge,A,9.3,24356,0
24,,N1,Bridge,A,8.3,24356,0
20,,N1,Bridge,B,8.0,24356,0
28,,N1,Bridge,A,6.1,24356,0
19,,N1,Link,-,112.0,24356,0
1363,,N2,Link,-,1000.0,24090,38
1360,,N2,Bridge,C,19.0,24083,0
1361,,N2,Link,-,214.0,24083,0
1362,,N2,Link,-,20.0,24083,0
1372,,N2,Link,-,914.0,24067,30
1368,,N2,Link,-,467.0,24059,3
1367,,N2,Bridge,B,3.5,24059,0
1366,,N2,Link,-,132.0,24059,0
1365,,N2,Bridge,B,4.9,24059,0
1364,,N2,Link,-,162.0,24059,0
1371,,N2,Link,-,8.0,24056,0
1370,,N2,Link,-,22.0,24056,0
1369,,N2,Bridge,A,3.4,24056,0
1374,,N2,Link,-,754.0,24054,27
1373,,N2,Bridge,C,72.15,24049,1
1384,,N2,Link,-,926.0,24038,31
1376,,N2,Link,-,449.0,24036,5
1379,,N2,Link,-,675.0,24036,3
1377,,N2,Bridge,B,8.3,24035,0
1378,,N2,Link,-,273.0,24035,0
1380,,N2,Bridge,A,8.3,24034,0
1381,,N2,Link,-,288.0,24034,1
1383,,N2,Bridge,A,8.0,24033,0
1382,,N2,Bridge,A,4.0,24033,0
1375,,N2,Bridge,A,4.5,24032,0
1386,,N2,Link,-,1000.0,24020,30
1385,,N2,Bridge,B,4.0,24012,0
1393,,N2,Link,-,990.0,24004,33
1390,,N2,Link,-,469.0,24000,5
1387,,N2,Link,-,322.0,24000,2
1388,,N2,Bridge,A,4.0,24000,0
1389,,N2,Bridge,A,4.0,24000,0
1391,,N2,Bridge,A,4.0,23995,0
1392,,N2,Bridge,A,2.0,23995,0
1396,,N2,Link,-,870.0,23987,38
1394,,N2,Link,-,1000.0,23982,5
1395,,N2,Link,-,130.0,23979,0
1401,,N2,Link,-,909.0,23967,30
1398,,N2,Bridge,A,2.5,23957,0
1399,,N2,Bridge,A,2.5,23957,0
1397,,N2,Link,-,187.0,23957,0
1400,,N2,Link,-,90.0,23957,0
1402,,N2,Link,-,251.0,23948,1
1403,,N2,Link,-,34.0,23948,0
1404,,N2,Link,-,483.0,23948,4
1407,,N2,Link,-,1020.0,23947,18
1405,,N2,Bridge,B,30.3,23944,0
1406,,N2,Link,-,10.0,23944,0
1408,,N2,Link,-,665.0,23934,5
1410,,N2,Link,-,280.0,23931,0
1411,,N2,Link,-,408.0,23931,0
1409,,N2,Bridge,A,3.6,23931,0
1412,,N2,Link,-,322.0,23931,3
1458,,N2,Link,-,969.0,23930,35
1413,,N2,Link,-,425.0,23928,0
1414,,N2,Link,-,474.0,23928,4
1444,,N2,Link,-,452.0,23927,7
1430,,N2,Bridge,A,3.0,23925,0
1431,,N2,Link,-,230.0,23925,0
1432,,N2,Bridge,B,3.5,23925,0
1433,,N2,Bridge,A,3.0,23925,0
1434,,N2,Link,-,40.0,23925,0
1435,,N2,Bridge,A,1.8,23925,0
1442,,N2,Link,-,160.0,23925,0
1436,,N2,Bridge,B,14.1,23925,0
1437,,N2,Link,-,170.0,23925,0
1438,,N2,Link,-,183.0,23925,0
1439,,N2,Bridge,A,2.0,23925,0
1428,,N2,Link,-,253.0,23925,0
1429,,N2,Bridge,A,3.4,23925,0
1440,,N2,Link,-,159.0,23925,0
1427,,N2,Link,-,85.0,23925,0
1426,,N2,Bridge,A,12.6,23925,0
1425,,N2,Link,-,21.0,23925,0
1424,,N2,Bridge,A,3.0,23925,0
1423,,N2,Link,-,349.0,23925,3
1443,,N2,Bridge,A,2.5,23925,0
1441,,N2,Link,-,30.0,23925,0
1418,,N2,Link,-,164.0,23924,3
1417,,N2,Bridge,A,3.0,23924,0
1416,,N2,Link,-,245.0,23924,0
1415,,N2,Bridge,A,12.7,23924,0
1447,,N2,Link,-,670.0,23924,4
